,model,dms_id,accuracy,precision,recall,f1,mcc,n
115,RITA_s,A4_HUMAN_Seuma_2022,0.6084666801701438,0.6407832545577312,0.6018518518518519,0.6207076983452156,0.21739200243608695,14811
116,RITA_m,A4_HUMAN_Seuma_2022,0.5852406994801161,0.6175557056043214,0.5800355149670218,0.598207861861469,0.17084276809516888,14811
117,RITA_l,A4_HUMAN_Seuma_2022,0.6017149415974613,0.6340310600945307,0.595509893455099,0.6141670482045916,0.2038602482672154,14811
118,RITA_xl,A4_HUMAN_Seuma_2022,0.5987441766254811,0.6310600945307225,0.5927194317605277,0.611289162142717,0.19790627643291195,14811
119,Progen2_small,A4_HUMAN_Seuma_2022,0.6397947471473905,0.6721134368669818,0.6312785388127854,0.6510563149977108,0.28017934177965087,14811
120,Progen2_medium,A4_HUMAN_Seuma_2022,0.5959084464249544,0.6282241728561783,0.5900558092338914,0.6085420890836549,0.1922229396819859,14811
121,Progen2_base,A4_HUMAN_Seuma_2022,0.6059010195125245,0.638217420661715,0.5994419076610857,0.6182222512917784,0.21224993585191576,14811
122,Progen2_large,A4_HUMAN_Seuma_2022,0.6010397677401931,0.6333558406482107,0.5948756976154237,0.6135129831905292,0.20250707285032826,14811
123,Progen2_xlarge,A4_HUMAN_Seuma_2022,0.6002295591114712,0.6325455773126266,0.5941146626078133,0.6127281051736543,0.20088326235006368,14811
124,GEMME,A4_HUMAN_Seuma_2022,0.6936736209573965,0.7259959486833221,0.6818873668188736,0.7032507031198901,0.3881627400472457,14811
125,VESPA,A4_HUMAN_Seuma_2022,0.5952332725676862,0.6275489534098582,0.5894216133942162,0.6078880240695925,0.19086976426509875,14811
126,VESPAl,A4_HUMAN_Seuma_2022,0.5636351360475322,0.5959486833220797,0.5597412480974124,0.5772777814114723,0.12754115475477995,14811
127,VespaG,A4_HUMAN_Seuma_2022,0.6858416042130848,0.7181634031060095,0.6745306950786403,0.6956635489567663,0.3724659052113547,14811
128,ProtGPT2,A4_HUMAN_Seuma_2022,0.7056917156167714,0.738014854827819,0.6931760527650939,0.7148930603702008,0.41224926246783705,14811
129,Tranception_S_no_retrieval,A4_HUMAN_Seuma_2022,0.6397947471473905,0.6721134368669818,0.6312785388127854,0.6510563149977108,0.28017934177965087,14811
130,Tranception_M_no_retrieval,A4_HUMAN_Seuma_2022,0.5803794477077847,0.612694125590817,0.5754693049213597,0.5934985937602197,0.16109990509358135,14811
131,Tranception_L_no_retrieval,A4_HUMAN_Seuma_2022,0.6180541489433529,0.650371370695476,0.610857432775241,0.6299954215449015,0.2366070933558845,14811
132,Tranception_S,A4_HUMAN_Seuma_2022,0.6661265275808521,0.6984469952734639,0.6560121765601218,0.6765648505461442,0.33295318303824983,14811
133,Tranception_M,A4_HUMAN_Seuma_2022,0.632637904260347,0.6649561107359891,0.6245560629122273,0.6441232258486493,0.26583568236064703,14811
134,Tranception_L,A4_HUMAN_Seuma_2022,0.6801701438120316,0.712491559756921,0.6692034500253679,0.6901694028386421,0.36109923170950264,14811
135,TranceptEVE_S,A4_HUMAN_Seuma_2022,0.6658564580379448,0.6981769074949359,0.6557584982242517,0.6763032245405193,0.33241191287149496,14811
136,TranceptEVE_M,A4_HUMAN_Seuma_2022,0.6437107555195463,0.6760297096556381,0.6349568746829021,0.6548498920792727,0.2880277591975963,14811
137,TranceptEVE_L,A4_HUMAN_Seuma_2022,0.6546485720072919,0.686968264686023,0.6452308472856418,0.6654457453070836,0.30994920095116824,14811
138,CARP_38M,A4_HUMAN_Seuma_2022,0.6576193369792722,0.6899392302498312,0.648021308980213,0.6683236313689581,0.3159031727854717,14811
139,CARP_600K,A4_HUMAN_Seuma_2022,0.6551887110931065,0.687508440243079,0.645738203957382,0.6659689973183335,0.311031741284678,14811
