,accuracy,precision,recall,f1,mcc,n,cluster_label
MIFST,0.672968513680737,0.6680570197552368,0.674643584521385,0.6713341470716934,0.34595292154209295,43638,newer_plm
Progen3_762m,0.672968513680737,0.6680570197552368,0.674643584521385,0.6713341470716934,0.34595292154209295,43638,newer_plm
Tranception_M,0.6711810807094734,0.6662694229270752,0.6728383632660618,0.6695377812579166,0.3423778820169589,43638,autoregressive_plm
ESM1v_single,0.6688894999770842,0.6639776321217399,0.6705239770412886,0.6672347481633311,0.3377944980103768,43638,autoregressive_plm
VESPA,0.6683395206013107,0.6634276023284594,0.6699685243473431,0.6666820202206306,0.3366944858487971,43638,autoregressive_plm
Progen3_3b,0.6682478573720152,0.6633359306962461,0.6698759488983521,0.6665898988968472,0.3365111504885338,43638,newer_plm
Progen3_1b,0.6670104037765251,0.662098363661365,0.6686261803369746,0.665346261025771,0.33403612312497943,43638,newer_plm
S2F,0.6669187405472294,0.6620066920291516,0.6685336048879837,0.6652541397019875,0.33385278776471616,43638,structure_aware
ESM1b,0.6669187405472294,0.6620066920291516,0.6685336048879837,0.6652541397019875,0.33385278776471616,43638,autoregressive_plm
EVE_ensemble,0.6658646134103304,0.6609524682586974,0.667468987224588,0.6641947444784781,0.3317444311216884,43638,msa_based
EVE_single,0.6655208763004721,0.6606160616061606,0.6670986854286244,0.663841547673883,0.3310564736218294,43638,msa_based
EVmutation,0.6654521288785004,0.660539945913737,0.6670523977041288,0.6637801985214528,0.3309194220005036,43638,msa_based
MSA_Transformer_single,0.6649479811173747,0.6600357519365633,0.6665432327346787,0.6632735312406439,0.3299110775190556,43638,autoregressive_plm
RITA_l,0.6627022319996333,0.6577897969473346,0.664275134234401,0.6610165588079501,0.32541936119260506,43638,autoregressive_plm
Progen2_large,0.6626105687703377,0.6576981253151213,0.6641825587854101,0.6609244374841666,0.3252360258323418,43638,autoregressive_plm
Progen2_medium,0.6623814106970989,0.6574689462345877,0.6639511201629328,0.6606941341747081,0.32477768743168356,43638,autoregressive_plm
RITA_s,0.6622439158531555,0.6573314387862675,0.6638122569894463,0.660555952189033,0.32450268439128865,43638,autoregressive_plm
Progen2_base,0.6614189467894954,0.6565063940963469,0.6629790779485281,0.6597268602749822,0.3228526661489191,43638,autoregressive_plm
RITA_xl,0.6607314725697786,0.6558188568547463,0.6622847620810961,0.6590359503466064,0.32147765094694447,43638,autoregressive_plm
Progen2_xlarge,0.6597231770475274,0.6548104689003987,0.6612664321421959,0.6580226157849889,0.31946096198404833,43638,autoregressive_plm
Tranception_L_no_retrieval,0.6594481873596407,0.6545354540037586,0.6609887057952231,0.6577462518136385,0.31891095590325846,43638,autoregressive_plm
Progen3_112m,0.6591961134790779,0.6542904290429042,0.6607109794482503,0.6574850299401198,0.31840633369723254,43638,newer_plm
ProtSSN_k20_h512,0.659173197671754,0.6542604391071183,0.6607109794482503,0.6574698878422883,0.3183609498224686,43638,structure_aware
ProtSSN_ensemble,0.6589898712131629,0.6540770958426915,0.6605258285502684,0.6572856451947214,0.31799427910194206,43638,structure_aware
ProtSSN_k10_h1280,0.6571566066272515,0.6522436631984232,0.6586743195704499,0.655443218719053,0.31432757189667637,43638,structure_aware
RITA_m,0.6569274485540125,0.6520144841178898,0.6584428809479727,0.6552129154095945,0.31386923349601814,43638,autoregressive_plm
Site_Independent,0.6566753746734497,0.6517693436010268,0.6581651546009998,0.6549516351911562,0.3133646112635164,43638,msa_based
CARP_76M,0.6566524588661259,0.6517394692212495,0.6581651546009998,0.6549365514382441,0.3133192274152283,43638,newer_plm
SaProt_650M_AF2,0.6565149640221825,0.6516019617729294,0.6580262914275135,0.6547983694525691,0.31304422437483337,43638,inverse_folding_mixed
ProtSSN_k30_h512,0.6561024794903525,0.651189439427969,0.6576097019070543,0.6543838234955436,0.3122192152536486,43638,structure_aware
ProtSSN_k10_h512,0.6550025207388056,0.650089379841408,0.6564987965191631,0.6532783676101426,0.3100191909304892,43638,structure_aware
ESM2_3B,0.653856730372611,0.6489434844387404,0.6553416034067765,0.6521268510628497,0.3077274989271981,43638,autoregressive_plm
ProtSSN_k10_h768,0.6538108987579633,0.6488976486226338,0.655295315682281,0.652080790400958,0.30763583124706645,43638,structure_aware
ProtSSN_k20_h768,0.6534900774554288,0.6485767979098868,0.6549713016108129,0.6517583657677161,0.30699415748614495,43638,structure_aware
